,CrunchBase Ranking,Company Name/Organisation Name,Acquired by,About,Location,Number of Employees,Industry,IPO Status,Website,Founded Date,Headquarters,Founders,Operating Status,Hub Tags,Last Funding Type,Company Type,Investor Type,Investment Stage,Number of Investors,Number Funding Rounds,Total Funding Amount,Number of exits,Number of Lead Investors,Number of Acquisitions,Number of Current Team Members (core team),Number of Board Members/Advisors,Total Products Active,Product Downloads in the Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,Number of Events,Number of Funds,Number of Investments,Number of Diversity Investments,Number of Exits,Related Hubs,Stock Symbol,IPO Date,Number of Sub,Organisations,Funding Rounds,Funds Raised (for VC),Number of Lead Investments
0,200,microstrategy,NA,"['MicroStrategy provides enterprise software for business intelligence, mobile intelligence, and network applications.', 'reporting engine that delivers production and operational reports, managed metrics reports, and interactive dashboards; OLAP Services that allows Web and desktop users to manipulate Intelligent Cubes databases; Web and Web Universal, a browser-independent Web interface providing query, reporting, and analysis through a platform-independent architecture; Office that lets Microsoft Office users run, edit, and format MicroStrategy reports directly from within Microsoft applications; and Distribution Services product that controls report and dashboard distribution.\nThe company was founded in 1989 and is based in McLean, Virginia.']","Vienna, Virginia, United States",1001-5000,"['Analytics', 'Business Intelligence', 'SaaS', 'Software']",Public,www.microstrategy.com,['1989'],"['Washington DC Metro Area, East Coast, Southern US']","['Michael Saylor, Sanju Bansal']",['Active'],NA,['Post-IPO Debt'],['For Profit'],NA,NA,NA,NA,$650M,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,201,federal-communications-commission,NA,"['Federal Communications Commission is an independent United States agency that regulates interstate and international communications.', ""technological innovation.\nFederal Communications Commission capitalizes on its competencies in promoting competition, innovation, and investment in broadband services and facilities; supporting the nation's economy by ensuring an appropriate competitive framework for the unfolding of the communications revolution; encouraging the highest use of spectrum domestically and internationally; revising media regulations so that new technologies improve alongside diversity and localism; and providing leadership in strengthening the defense of the nation's communications infrastructure.\nFederal Communications Commission is directed by five commissioners who are appointed by the president of the United States and confirmed by the U.S. Senate. The agency was formed in 1934 and is headquartered in Washington, D.C. with additional offices in Illinois, Missouri, California, Michigan, and New York.""]","Washington, District of Columbia, United States",1001-5000,"['Government', 'Politics', 'Privacy']",Private,fcc.gov,"['Jun 19, 1934']","['Washington DC Metro Area, Southern US']",NA,['Active'],NA,['Grant'],['For Profit'],NA,NA,1,NA,$61M,NA,NA,NA,14,NA,33,NA,54,"4,957,991",1.83%,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,202,locus-robotics,NA,"['Locus Robotics is a warehouse robotics company that manufactures autonomous mobile robots to support e-commerce.', 'orders as quickly and accurately as possible.\nIt was founded in 2014 and headquartered in Wilmington, Massachusetts.']","Wilmington, Massachusetts, United States",101-250,"['E-Commerce', 'Industrial Automation', 'Logistics', 'Robotics', 'Warehousing']",Private,www.locusrobotics.com,['2014'],"['Greater Boston Area, East Coast, New England']",['Bruce E. Welty'],['Active'],NA,['Series E'],['For Profit'],NA,NA,5,5,$249M,NA,4,NA,11,NA,22,NA,50,"10,120",-13.39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,203,splice,NA,"['Splice provides a technology platform for music creators that streamlines the process of creating and sharing music.', 'Splice designs and develops a technology platform for music creators that streamlines the process of creating and sharing music. It also provides artists with the means to connect with fans and other artists to solicit feedback throughout every step of the process. The company was founded in 2013 and headquartered in New York City.']","New York, New York, United States",101-250,"['Collaboration', 'Media and Entertainment', 'Music']",Private,splice.com/,['2013'],"['Greater New York Area, East Coast, Northeastern US']","['Matt Aimonetti, Steve Martocci']",['Active'],NA,['Series D'],['For Profit'],NA,NA,22,NA,$159.7M,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,204,docker,NA,"['Docker develops an open platform for building, shipping, and running distributed applications.', 'packaging tool and a cloud service for sharing applications and automating workflows.\nStarting in 2008, dotCloud became Docker in October 2013, with its headquarters in San Francisco, California.']","San Francisco, California, United States",101-250,"['Cloud Computing', 'Enterprise Software', 'Open Source', 'SaaS', 'Software']",Private,www.docker.com,"['Jan 1, 2010']","['San Francisco Bay Area, West Coast, Western US']",['Solomon Hykes'],['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,30,10,$307.9M,NA,5,8,44,NA,53,NA,129,"17,392,163",6.43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,205,blueshift-labs,NA,"['Blueshift offers the SmartHub CDP, which helps brands deliver relevant and connected experiences across every customer interaction.', 'scale, Blueshift gives brands all the tools to seamlessly deliver 1:1 experiences in real-time across the entire customer journey.\nLeading consumer brands such as LendingTree, Udacity, Discovery, PayPal, Groupon, and the BBC use Blueshift to drive continued revenue growth through elevated customer engagement.']","San Francisco, California, United States",101-250,"['Artificial Intelligence', 'Digital Marketing', 'Marketing Automation', 'SaaS']",Private,www.blueshift.com,['2014'],"['San Francisco Bay Area, West Coast, Western US']","['Manyam Mallela, Mehul Shah, Vijay Chittoor']",['Active'],NA,['Series C'],['For Profit'],NA,NA,10,NA,$64.6M,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,206,birchbox,NA,"['Birchbox is a New York-based online subscription service that specializes in makeup and other beauty related products.', 'Launched in 2010, Birchbox is the discovery commerce platform redefining the retail process by offering consumers a personalized way to discover, sample, shop, and learn about the best products and brands available.\nBirchbox members have first-touch experiences with products each month and access to educational content to help them get the most', 'out of their products.\nTop brands like Kiehl’s, Benefit, Deborah Lippmann, and Stila have partnered with Birchbox.']","New York, New York, United States",251-500,"['Beauty', 'E-Commerce', 'E-Commerce Platforms', 'Internet']",Private,www.birchbox.com,['2010'],"['Greater New York Area, East Coast, Northeastern US']","['Hayley Barna, Katia Beauchamp']",['Active'],NA,['Series D'],['For Profit'],NA,NA,22,7,$97.2M,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,207,adyen,NA,"['Adyen offers Adyen platform that integrates gateway, risk management, processing, acquiring, and settlement of payments.', ""connecting merchants to Visa, Mastercard, and other payment methods, as well as sales channels, including its merchants' online, mobile, and point-of-sale channels.\nPieter van der Does founded Adyen in 2006. It has its headquarters in Amsterdam in the Netherlands.""]","Amsterdam, Noord-Holland, The Netherlands",501-1000,"['E-Commerce', 'Financial Services', 'FinTech', 'Mobile Apps', 'Mobile Payments', 'Payments']",Public,www.adyen.com/,['2006'],['European Union (EU)'],['Pieter van der Does'],['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,7,NA,$266M,NA,NA,NA,29,NA,34,495,35,"13,239,782",-0.79%,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,208,tenth,NA,"['First Boulevard is a fintech startup that aims to address the generational wealth gap for Black Americans.', 'education, Black-focused spending, and automated wealth building, First Boulevard helps members remove the stress out of managing their money while also developing positive financial behaviors and habits to reach goals faster.']","Overland Park, Kansas, United States",Nov-50,"['Banking', 'Financial Services', 'FinTech']",Private,www.BankBLVD.com,['May 2020'],['Midwestern US'],"['Asya Bradley, Donald Hawkins']",['Active'],NA,['Seed'],['For Profit'],NA,NA,5,1,$5M,NA,2,NA,3,NA,NA,NA,26,"2,419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,209,foxconn-technology-group,NA,"['Foxconn Technology Group, is a Taiwanese multinational electronics contract manufacturing company, headquartered in Tucheng.', ""Foxconn Technology Group, also known as Hon Hai Precision Industry Co., Ltd., is a Taiwanese multinational electronics contract manufacturing company headquartered in Tucheng, New Taipei, Taiwan. It is the world's largest electronics contract manufacturer,and the fourth-largest information technology company by revenue.\nThe Company"", ""manufactures connectors for use in PCs in Taiwan, and also manufactures connectors and cable assemblies worldwide. The Company also manufactures enclosures, primarily for desktop PCs and PC servers. Foxconn is the registered trade name for the Company. Connectors & Cable Assemblies Connectors have applications in various industries - computers, automobile, communications, consumer products, medical, and defense. Foxconn focuses on offering a range of connectors and cable assemblies for desktop and notebook PCs and PC peripherals. Approximately 500 types of connectors are produced and sold under the Company's own Foxconn brand name. Foxconn has branched into manufacturing connectors for communications and consumer products. PC Enclosures Foxconn manufactures PC enclosures for desktop computers. Depending on its client's specifications, the casings can be sold together with floppy disk drives, switching power supplies, connectors, cable assemblies, and riser cards. Foxconn provides integrated mechanical solutions for clients to deal with thermal, acoustic, environmental, mechanical, functional, and design problems.\nThe Company primarilt serves in Taiwan. In addition it has distribution centers in various key cities in Asia, Europe, and America. Foxconn's principal manufacturing operations are based in Taiwan and mainland China. It has also set up production facilities in Europe and the United States. Foxconn is in the process of setting up new production facilities in Ireland, and is also considering Central America as a production center. Significant Events Hon Hai Precision Industry Co., Ltd. has established a unit to enter the business of assembling liquid crystal display (LCD) televisions. The company and Chi Mei Optoelectronics Corp. have formed a joint venture, Ampower Holding Ltd, that makes inverters meant for television sets fitted with TFT-LCD screens. The company has formed a strategic partnership with United Keys, Inc. As part of this partnership, Foxconn would build display-key input devices using United Keys technology. Display-keys are regular keyswitches with small OLED displays embedded in their tops. This allows interactive and image-based communication between software and users. On September 5, 2009, Sony Corporation announced that it has agreed to form a partnership with Hon Hai Precision Industry Co. Ltd. for the production of LCD TVs for the Americas region.""]","Taipei, T'ai-pei, Taiwan",10001+,"['Electronics', 'Hardware', 'Information Technology', 'Manufacturing', 'Software']",Public,www.foxconn.com,['1974'],['Asia-Pacific (APAC)'],['Terry Gou'],['Active'],NA,['Series B'],['For Profit'],NA,NA,NA,1,$20M,9,NA,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
